route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
2-100M,2371,2309663:6584057:6591013,108 Ranch,24795,6591013,0
2-100M,2371,2309664:6585494:6591013,108 Ranch,18068,6591013,0
1-100M,2371,2309661:6586025:6591013,100 Mile House,24721,6591013,0
2-100M,2371,2309665:6586421:6591013,108 Ranch,18099,6591013,0
1-100M,2371,2309659:6587875:6591013,100 Mile House,24627,6591013,0
1-100M,2371,2309658:6588320:6591013,100 Mile House,24627,6591013,0
2-100M,2371,2309662:6588905:6591013,108 Ranch,24706,6591013,0
1-100M,2371,2309660:6589252:6591013,100 Mile House,24634,6591013,0
