service_id,date,exception_type
1803,20240831,1
2919,20240901,1
2919,20240902,1
3277,20240903,1
3277,20240904,1
3277,20240905,1
3277,20240906,1
3277,20240909,1
3277,20240910,1
3277,20240911,1
3277,20240912,1
3277,20240913,1
3277,20240916,1
3277,20240917,1
3277,20240918,1
3277,20240919,1
3277,20240920,1
3277,20240923,1
3277,20240924,1
3277,20240925,1
3277,20240926,1
3277,20240927,1
3277,20241001,1
3277,20241002,1
3277,20241003,1
3277,20241004,1
3277,20241007,1
3277,20241008,1
3277,20241009,1
3277,20241010,1
3277,20241011,1
3278,20240903,1
3278,20240904,1
3278,20240905,1
3278,20240906,1
3278,20240910,1
3278,20240911,1
3278,20240912,1
3278,20240913,1
3278,20240917,1
3278,20240918,1
3278,20240919,1
3278,20240920,1
3278,20240924,1
3278,20240925,1
3278,20240926,1
3278,20240927,1
3278,20241001,1
3278,20241002,1
3278,20241003,1
3278,20241004,1
3278,20241008,1
3278,20241009,1
3278,20241010,1
3278,20241011,1
3280,20240906,1
3280,20240913,1
3280,20240920,1
3280,20240927,1
3280,20241004,1
3280,20241011,1
3281,20240907,1
3281,20240914,1
3281,20240921,1
3281,20240928,1
3281,20241005,1
3281,20241012,1
3282,20240908,1
3282,20240915,1
3282,20240922,1
3282,20240929,1
3282,20240930,1
3282,20241006,1
3282,20241013,1
3282,20241014,1
3283,20240909,1
3283,20240916,1
3283,20240923,1
3283,20241007,1
3284,20241015,1
3284,20241016,1
3284,20241017,1
3284,20241018,1
3284,20241021,1
3284,20241022,1
3284,20241023,1
3284,20241024,1
3284,20241025,1
3284,20241028,1
3284,20241029,1
3284,20241030,1
3284,20241031,1
3284,20241101,1
3284,20241104,1
3284,20241105,1
3284,20241106,1
3284,20241107,1
3284,20241108,1
3284,20241112,1
3284,20241113,1
3284,20241114,1
3284,20241115,1
3284,20241118,1
3284,20241119,1
3284,20241120,1
3284,20241121,1
3284,20241122,1
3284,20241125,1
3284,20241126,1
3284,20241127,1
3284,20241128,1
3284,20241129,1
3284,20241202,1
3284,20241203,1
3284,20241204,1
3284,20241205,1
3284,20241206,1
3284,20241209,1
3284,20241210,1
3284,20241211,1
3284,20241212,1
3284,20241213,1
3284,20241216,1
3284,20241217,1
3284,20241218,1
3284,20241219,1
3284,20241220,1
3284,20241223,1
3284,20241224,1
3284,20241227,1
3284,20241230,1
3284,20241231,1
3284,20250102,1
3284,20250103,1
3285,20241015,1
3285,20241016,1
3285,20241017,1
3285,20241018,1
3285,20241022,1
3285,20241023,1
3285,20241024,1
3285,20241025,1
3285,20241029,1
3285,20241030,1
3285,20241031,1
3285,20241101,1
3285,20241105,1
3285,20241106,1
3285,20241107,1
3285,20241108,1
3285,20241112,1
3285,20241113,1
3285,20241114,1
3285,20241115,1
3285,20241119,1
3285,20241120,1
3285,20241121,1
3285,20241122,1
3285,20241126,1
3285,20241127,1
3285,20241128,1
3285,20241129,1
3285,20241203,1
3285,20241204,1
3285,20241205,1
3285,20241206,1
3285,20241210,1
3285,20241211,1
3285,20241212,1
3285,20241213,1
3285,20241217,1
3285,20241218,1
3285,20241219,1
3285,20241220,1
3285,20241224,1
3285,20241227,1
3285,20241231,1
3285,20250102,1
3285,20250103,1
3286,20241018,1
3286,20241025,1
3286,20241101,1
3286,20241108,1
3286,20241115,1
3286,20241122,1
3286,20241129,1
3286,20241206,1
3286,20241213,1
3286,20241220,1
3286,20241227,1
3286,20250103,1
3287,20241019,1
3287,20241026,1
3287,20241102,1
3287,20241109,1
3287,20241116,1
3287,20241123,1
3287,20241130,1
3287,20241207,1
3287,20241214,1
3287,20241221,1
3287,20241228,1
3287,20250104,1
3288,20241020,1
3288,20241027,1
3288,20241103,1
3288,20241110,1
3288,20241111,1
3288,20241117,1
3288,20241124,1
3288,20241201,1
3288,20241208,1
3288,20241215,1
3288,20241222,1
3288,20241225,1
3288,20241226,1
3288,20241229,1
3288,20250101,1
3289,20241021,1
3289,20241028,1
3289,20241104,1
3289,20241118,1
3289,20241125,1
3289,20241202,1
3289,20241209,1
3289,20241216,1
3289,20241223,1
3289,20241230,1
